Час вимірювання (локальний час CairCloud);Чорний вуглець, %;"QC (чорний вуглець)
";"Вихідна напруга (Uвих), мВ
";QC (вихідна напруга);Вхідна напруга (Uвх), мВ;QC (вхідна напруга);"Масова концентрація частинок PM??, мкг/м?
";"QC (PM??)
";"Масова концентрація частинок PM???, мкг/м?
";"QC (PM???)
";"Масова концентрація частинок PM?, мкг/м?
";"QC (PM?)
";"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %
";"QC (відносна вологість)
";"Оксиди озону та азоту (O?–NO?), ppb
";QC (O?–NO?);"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %


";"QC (відносна вологість)
";Атмосферний тиск, гПа;"QC (атмосферний тиск)
";"Озон (O?), ppb
";"QC (озон)
";"Діоксид сірки (SO?), ppb
";"QC (діоксид сірки)
";"Діоксид азоту (NO?), ppb
";"QC (діоксид азоту)
";"Оксид вуглецю (CO), ppb
";"QC (оксид вуглецю)
";"Швидкість вітру, м/с
";"QC (швидкість вітру)
";"Напрямок вітру, градуси
";QC (напрямок вітру)
(in display TZ);value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc
12.02.2025 20:15;95.36;A;4212.8;A;4211.6;A;69.15;A;53.47;A;36.61;A;4.36;A;49.82;A;24;A;-1.17;A;66.15;A;1027.05;A;11;A;2;A;14;A;343;A;0;A;140;A
12.02.2025 20:30;95.4;A;4212.93;A;4211.6;A;78.23;A;61.02;A;41.86;A;4.2;A;50.21;A;25;A;-1.33;A;66.98;A;1026.88;A;6;A;3;A;19;A;468;A;0;A;143.33;A
12.02.2025 20:45;95.41;A;4213.6;A;4211.87;A;94.67;A;71.63;A;49.2;A;4.04;A;50.5;A;29;A;-1.51;A;67.37;A;1026.84;A;0;A;2;A;31;A;644;A;0.33;A;126.67;A
12.02.2025 21:00;95.43;A;4213.73;A;4212;A;110.99;A;84.08;A;57.68;A;3.87;A;50.79;A;28;A;-1.75;A;68.01;A;1026.87;A;0;A;2;A;32;A;706;A;0.33;A;130;A
12.02.2025 21:15;95.44;A;4213.8;A;4212.2;A;112.4;A;86.42;A;57.78;A;3.66;A;51.33;A;27;A;-1.96;A;69.24;A;1026.81;A;0;A;3;A;31;A;746;A;0;A;156.67;A
12.02.2025 21:30;95.44;A;4213.67;A;4211.67;A;124.87;A;95.77;A;63.5;A;3.4;A;52.32;A;25;A;-2.32;A;71.31;A;1026.74;A;0;A;4;A;31;A;711;A;0;A;306.67;A
12.02.2025 21:45;95.45;A;4213.73;A;4211.73;A;148.26;A;113.34;A;76.05;A;3.11;A;53.24;A;25;A;-2.62;A;72.38;A;1026.61;A;0;A;6;A;31;A;744;A;0;A;306.67;A
12.02.2025 22:00;95.45;A;4214;A;4212;A;142.38;A;108.48;A;72.43;A;2.88;A;53.82;A;25;A;-2.69;A;72.6;A;1026.55;A;0;A;6;A;30;A;698;A;0;A;186.67;A
12.02.2025 22:15;95.44;A;4208.27;A;4205.67;A;146.02;A;112.47;A;74.56;A;2.63;A;54.4;A;24;A;-3.13;A;73.77;A;1026.44;A;0;A;7;A;30;A;730;A;0;A;310;A
12.02.2025 22:30;95.31;A;4200.93;A;4198.27;A;149.86;A;114.72;A;77.36;A;2.36;A;54.66;A;24;A;-3.28;A;74.17;A;1026.42;A;0;A;8;A;31;A;804;A;0;A;206.67;A
12.02.2025 22:45;95.35;A;4212.73;A;4211.33;A;175.31;A;132.2;A;88.77;A;2.16;A;55.39;A;23;A;-3.5;A;75.42;A;1026.31;A;0;A;10;A;28;A;927;A;0;A;310;A
12.02.2025 23:00;95.38;A;4213;A;4211.53;A;169.79;A;129.15;A;85.51;A;1.92;A;55.95;A;22;A;-3.84;A;76.23;A;1026.46;A;0;A;12;A;27;A;876;A;0;A;313.33;A
12.02.2025 23:15;95.41;A;4213.67;A;4211.07;A;155.35;A;118.28;A;79.01;A;1.64;A;56.82;A;22;A;-4.08;A;77.64;A;1026.45;A;0;A;11;A;27;A;829;A;0;A;253.33;A
12.02.2025 23:30;95.42;A;4213.87;A;4211.4;A;185.2;A;137.49;A;92.16;A;1.42;A;57.8;A;21;A;-4.27;A;79.41;A;1026.33;A;0;A;13;A;26;A;1085;A;0;A;180;A
12.02.2025 23:45;95.43;A;4213.87;A;4211.4;A;191.04;A;145.02;A;96.69;A;1.23;A;57.9;A;21;A;-4.5;A;78.42;A;1026.21;A;0;A;15;A;25;A;1095;A;0;A;220;A
13.02.2025 00:00;95.44;A;4214;A;4211.6;A;190.29;A;144.21;A;96.02;A;0.99;A;57.9;A;21;A;-4.75;A;79.42;A;1026.18;A;0;A;15;A;26;A;1071;A;0;A;263.33;A
13.02.2025 00:15;95.44;A;4213.8;A;4211.6;A;192.08;A;145.2;A;96.67;A;0.79;A;58.34;A;21;A;-4.83;A;79.31;A;1026.11;A;0;A;15;A;25;A;1064;A;0;A;150;A
13.02.2025 00:30;95.44;A;4213.87;A;4211.47;A;180.63;A;138.66;A;91.92;A;0.59;A;58.31;A;20;A;-4.96;A;79.26;A;1025.97;A;0;A;15;A;24;A;984;A;0;A;280;A
13.02.2025 00:45;95.44;A;4213.87;A;4212;A;172.1;A;129.41;A;86.54;A;0.41;A;58.39;A;19;A;-5.16;A;79.18;A;1025.72;A;0;A;14;A;24;A;873;A;0;A;250;A
13.02.2025 01:00;95.44;A;4213.73;A;4211;A;152.13;A;116.35;A;77.63;A;0.23;A;58.54;A;19;A;-5.37;A;79.53;A;1025.78;A;0;A;14;A;24;A;786;A;0;A;313.33;A
13.02.2025 01:15;95.44;A;4214.2;A;4211.93;A;131.18;A;101.01;A;67.29;A;0.09;A;58.49;A;20;A;-5.51;A;79.84;A;1025.79;A;0;A;11;A;24;A;660;A;0;A;320;A
13.02.2025 01:30;95.44;A;4214.13;A;4211.2;A;137.39;A;105.22;A;69.53;A;0;A;59;A;19;A;-5.61;A;80.53;A;1025.78;A;0;A;11;A;24;A;672;A;0;A;316.67;A
13.02.2025 01:45;95.44;A;4214;A;4211.73;A;146.17;A;112.42;A;75.44;A;0;A;59.45;A;18;A;-5.76;A;80.84;A;1025.61;A;0;A;13;A;23;A;735;A;0;A;313.33;A
13.02.2025 02:00;95.44;A;4214.4;A;4211.73;A;156.05;A;118.55;A;82.06;A;0;A;59.77;A;17;A;-5.89;A;81.43;A;1025.49;A;0;A;13;A;22;A;775;A;0;A;320;A
13.02.2025 02:15;95.44;A;4214.2;A;4211.47;A;138.89;A;95.53;A;84.13;A;0;A;60.01;A;17;A;-5.99;A;81.86;A;1025.43;A;0;A;14;A;21;A;775;A;0;A;306.67;A
13.02.2025 02:30;95.44;A;4214;A;4211.47;A;143.12;A;100.39;A;85.09;A;0;A;60;A;17;A;-6.01;A;82.23;A;1025.3;A;0;A;13;A;21;A;733;A;0.33;A;316.67;A
13.02.2025 02:45;95.44;A;4214.13;A;4211;A;143.38;A;100.63;A;84.15;A;0;A;59.96;A;16;A;-6.08;A;82.54;A;1025.16;A;0;A;12;A;20;A;706;A;0;A;320;A
13.02.2025 03:00;95.44;A;4214.07;A;4211.27;A;138.15;A;95.02;A;83.68;A;0;A;60.02;A;15;A;-6.19;A;82.76;A;1025.11;A;0;A;14;A;20;A;703;A;0;A;310;A
13.02.2025 03:15;95.44;A;4214.47;A;4211.27;A;138.99;A;96.17;A;84.07;A;0;A;60;A;15;A;-6.34;A;82.94;A;1025.09;A;0;A;14;A;19;A;706;A;0;A;310;A
13.02.2025 03:30;95.44;A;4214.13;A;4211.6;A;140.11;A;97.98;A;82.78;A;0;A;59.98;A;15;A;-6.44;A;83.16;A;1024.97;A;0;A;14;A;19;A;707;A;0;A;306.67;A
13.02.2025 03:45;95.44;A;4214.27;A;4211.2;A;133.58;A;93.64;A;78.99;A;0;A;59.96;A;15;A;-6.59;A;83.34;A;1025.01;A;0;A;14;A;19;A;678;A;0;A;310;A
13.02.2025 04:00;95.44;A;4214.73;A;4211.4;A;129.05;A;90.52;A;75.18;A;0;A;59.96;A;15;A;-6.68;A;83.37;A;1024.93;A;0;A;14;A;18;A;664;A;0;A;306.67;A
13.02.2025 04:15;95.43;A;4214.33;A;4211.53;A;106.63;A;74.47;A;63.47;A;0;A;59.97;A;15;A;-6.79;A;84.13;A;1024.79;A;0;A;12;A;19;A;572;A;0;A;296.67;A
13.02.2025 04:30;95.43;A;4214.33;A;4211;A;116.06;A;82.18;A;66.73;A;0;A;59.84;A;14;A;-6.9;A;83.84;A;1024.78;A;0;A;13;A;18;A;608;A;0;A;306.67;A
13.02.2025 04:45;95.43;A;4214.47;A;4210.93;A;108.38;A;75.91;A;63.62;A;0;A;59.96;A;14;A;-7;A;83.5;A;1024.72;A;0;A;12;A;18;A;585;A;0;A;290;A
13.02.2025 05:00;95.43;A;4214.27;A;4211.2;A;98.59;A;68.48;A;58.89;A;0;A;59.97;A;15;A;-7.09;A;83.69;A;1024.67;A;0;A;12;A;18;A;545;A;0;A;280;A
13.02.2025 05:15;95.43;A;4214.6;A;4211.2;A;85.12;A;59.26;A;50.55;A;0;A;59.95;A;16;A;-7.22;A;83.49;A;1024.69;A;0;A;10;A;19;A;444;A;0;A;163.33;A
13.02.2025 05:30;95.43;A;4214.73;A;4211.47;A;98.69;A;72.47;A;56.59;A;0;A;59.89;A;16;A;-7.28;A;82.55;A;1024.61;A;0;A;9;A;20;A;513;A;0;A;253.33;A
13.02.2025 05:45;95.43;A;4214.73;A;4211;A;121.44;A;91.1;A;60.98;A;0;A;59.75;A;17;A;-7.46;A;82.53;A;1024.54;A;0;A;10;A;20;A;529;A;0;A;303.33;A
13.02.2025 06:00;95.43;A;4214.73;A;4211.33;A;84.65;A;58.32;A;51.36;A;0;A;60.03;A;16;A;-7.51;A;83.08;A;1024.47;A;0;A;9;A;19;A;412;A;0;A;166.67;A
13.02.2025 06:15;95.43;A;4214.93;A;4211.67;A;86.68;A;61.25;A;49.22;A;0;A;59.88;A;16;A;-7.67;A;82.86;A;1024.57;A;0;A;8;A;19;A;345;A;0;A;190;A
13.02.2025 06:30;95.43;A;4214.6;A;4211.13;A;83.92;A;58.69;A;50.29;A;0;A;59.99;A;15;A;-7.81;A;83.05;A;1024.57;A;0;A;8;A;19;A;345;A;0;A;296.67;A
13.02.2025 06:45;95.43;A;4214.73;A;4210.93;A;85.95;A;60.18;A;50.68;A;0;A;59.96;A;15;A;-7.89;A;82.96;A;1024.53;A;0;A;8;A;19;A;326;A;0.33;A;300;A
13.02.2025 07:00;95.42;A;4214.47;A;4210.8;A;87.42;A;60.7;A;51.93;A;0;A;59.96;A;14;A;-7.93;A;83.09;A;1024.47;A;0;A;8;A;18;A;334;A;0;A;253.33;A
13.02.2025 07:15;95.42;A;4214.6;A;4211;A;87.95;A;61;A;52.65;A;0;A;60.13;A;15;A;-7.93;A;83.09;A;1024.47;A;0;A;8;A;18;A;379;A;0;A;243.33;A
13.02.2025 07:30;95.42;A;4214.33;A;4210.93;A;107.08;A;77.22;A;57.9;A;0;A;59.71;A;16;A;-7.76;A;82.53;A;1024.55;A;0;A;9;A;19;A;541;A;0;A;310;A
13.02.2025 07:45;95.42;A;4214.53;A;4210.8;A;93.58;A;64.54;A;55.91;A;0;A;59.99;A;16;A;-7.54;A;81.99;A;1024.51;A;0;A;9;A;19;A;510;A;0;A;306.67;A
13.02.2025 08:00;95.42;A;4214.73;A;4211.4;A;113.05;A;78.17;A;68.21;A;0;A;60.05;A;16;A;-6.93;A;80.36;A;1024.47;A;0;A;9;A;19;A;509;A;0;A;300;A
13.02.2025 08:15;95.42;A;4214.27;A;4211.67;A;155.09;A;116.14;A;83.94;A;0;A;59.78;A;18;A;-6.12;A;78.6;A;1024.3;A;0;A;7;A;21;A;582;A;0;A;323.33;A
13.02.2025 08:30;95.42;A;4213.67;A;4211.33;A;122.52;A;88.39;A;65.21;A;0;A;59.46;A;18;A;-5.1;A;76.6;A;1024.06;A;0;A;7;A;20;A;535;A;0;A;330;A
13.02.2025 08:45;95.42;A;4213.87;A;4211.87;A;124.88;A;93.85;A;63.47;A;0.35;A;57.84;A;19;A;-3.95;A;72.64;A;1023.86;A;0;A;6;A;21;A;573;A;0.33;A;326.67;A
13.02.2025 09:00;95.42;A;4213.73;A;4212.47;A;116.17;A;89.59;A;60.63;A;1.73;A;55.17;A;20;A;-2.56;A;68.95;A;1023.75;A;0;A;6;A;22;A;599;A;0.33;A;260;A
13.02.2025 09:15;95.42;A;4213.73;A;4212.53;A;118.38;A;88.84;A;60.51;A;3.13;A;52.29;A;21;A;-1.42;A;66.1;A;1023.42;A;0;A;7;A;23;A;607;A;0;A;176.67;A
13.02.2025 09:30;95.4;A;4207.73;A;4206.53;A;106.01;A;83.31;A;58.24;A;4.38;A;49.76;A;22;A;-0.74;A;65;A;1023.32;A;0;A;9;A;24;A;559;A;0;A;116.67;A
13.02.2025 09:45;95.36;A;4212.8;A;4212.47;A;102.11;A;79.31;A;55.24;A;5.07;A;48.2;A;25;A;-0.5;A;64.82;A;1023.34;A;0;A;10;A;26;A;504;A;0;A;263.33;A
13.02.2025 10:00;95.38;A;4213;A;4213.2;A;101.33;A;78.11;A;53.62;A;5.72;A;47.19;A;24;A;0.54;A;61.17;A;1023.05;A;0;A;7;A;26;A;493;A;0.67;A;330;A
13.02.2025 10:15;95.39;A;4212.87;A;4213.13;A;99.78;A;78.47;A;54.05;A;6.66;A;45.38;A;25;A;1.41;A;58.72;A;1022.98;A;0;A;6;A;26;A;497;A;0.67;A;330;A
13.02.2025 10:30;95.4;A;4211.33;A;4211.6;A;95.53;A;74.88;A;51.73;A;7.61;A;43.28;A;26;A;1.87;A;56.77;A;1022.76;A;0;A;7;A;26;A;460;A;0;A;230;A
13.02.2025 10:45;95.29;A;4200.93;A;4199.13;A;90.51;A;68.13;A;47.27;A;8.29;A;41.62;A;26;A;2.46;A;54.6;A;1022.57;A;1;A;6;A;26;A;424;A;0;A;83.33;A
13.02.2025 11:00;95.31;A;4212.13;A;4212.67;A;87.91;A;66.43;A;46.17;A;8.7;A;40.69;A;28;A;2.64;A;54.03;A;1022.47;A;1;A;5;A;27;A;414;A;0.33;A;343.33;A
13.02.2025 11:15;95.35;A;4212.73;A;4212.67;A;93.9;A;68.2;A;47.04;A;9.03;A;40.17;A;28;A;3.27;A;52.18;A;1022.31;A;2;A;5;A;26;A;421;A;0.67;A;273.33;A
13.02.2025 11:30;95.37;A;4212.8;A;4212.87;A;96.26;A;71.45;A;49.06;A;9.38;A;39.62;A;28;A;3.46;A;52.34;A;1022.06;A;2;A;4;A;26;A;432;A;0;A;130;A
13.02.2025 11:45;95.38;A;4213.07;A;4213.2;A;93.53;A;69.36;A;48.43;A;9.4;A;39.33;A;30;A;3.06;A;53.3;A;1022.07;A;2;A;5;A;28;A;430;A;0;A;256.67;A
13.02.2025 12:00;95.39;A;4213;A;4213.13;A;94.17;A;69.74;A;47.28;A;9.14;A;40.25;A;30;A;3.09;A;53.89;A;1022.04;A;3;A;5;A;28;A;427;A;0.33;A;246.67;A
13.02.2025 12:15;95.4;A;4213.27;A;4213;A;90.65;A;67.17;A;47.21;A;8.89;A;40.67;A;30;A;3.01;A;54.02;A;1021.76;A;4;A;4;A;26;A;410;A;0;A;250;A
13.02.2025 12:30;95.4;A;4213.53;A;4212.8;A;83.56;A;61.71;A;42.71;A;8.72;A;40.73;A;30;A;2.94;A;53.86;A;1021.56;A;7;A;4;A;23;A;374;A;0;A;186.67;A
13.02.2025 12:45;95.39;A;4204.67;A;4202.47;A;94.68;A;67.54;A;46.61;A;8.57;A;41.38;A;29;A;3.02;A;54.01;A;1021.28;A;5;A;3;A;24;A;501;A;0.33;A;263.33;A
13.02.2025 13:00;95.2;A;4196.53;A;4193.73;A;88.01;A;65.12;A;44.3;A;8.55;A;41.45;A;30;A;3.14;A;53.32;A;1021.12;A;7;A;4;A;23;A;671;A;0.33;A;210;A
13.02.2025 13:15;95.24;A;4211.8;A;4211.87;A;90.11;A;64.97;A;44.74;A;8.58;A;41.46;A;30;A;3.23;A;53.16;A;1020.81;A;6;A;4;A;24;A;783;A;0;A;170;A
13.02.2025 13:30;95.3;A;4212.27;A;4212.2;A;90.19;A;66.04;A;45.75;A;8.62;A;41.19;A;31;A;3.38;A;52.61;A;1020.52;A;8;A;3;A;23;A;937;A;0;A;136.67;A
13.02.2025 13:45;95.34;A;4212.87;A;4212.67;A;100.1;A;72.81;A;49.9;A;8.68;A;41.11;A;32;A;3.4;A;52.35;A;1020.39;A;7;A;4;A;25;A;1063;A;0;A;126.67;A
13.02.2025 14:00;95.37;A;4212.93;A;4212.73;A;101.06;A;74.67;A;51.58;A;8.77;A;40.91;A;34;A;3.52;A;52.18;A;1020.33;A;4;A;3;A;30;A;1032;A;0;A;193.33;A
13.02.2025 14:15;95.38;A;4212.87;A;4212.4;A;94.38;A;68.97;A;47.68;A;8.84;A;40.45;A;35;A;3.64;A;50.83;A;1020.3;A;2;A;2;A;33;A;885;A;0;A;160;A
13.02.2025 14:30;95.39;A;4213.07;A;4212.93;A;79.1;A;54.9;A;37.6;A;8.93;A;39.83;A;35;A;3.75;A;49.9;A;1020.26;A;4;A;1;A;30;A;636;A;0;A;196.67;A
13.02.2025 14:45;95.4;A;4213.6;A;4213.27;A;49.99;A;34.44;A;22.99;A;9.02;A;38.43;A;31;A;3.82;A;48.3;A;1020.19;A;14;A;1;A;17;A;252;A;0.33;A;260;A
13.02.2025 15:00;95.4;A;4213.6;A;4212.73;A;51.3;A;34.88;A;23.29;A;9.07;A;38.54;A;31;A;3.84;A;48.4;A;1020.04;A;15;A;1;A;15;A;204;A;0.67;A;270;A
13.02.2025 15:15;95.41;A;4213.67;A;4212.67;A;46.77;A;31.89;A;21.78;A;9.07;A;38.28;A;30;A;3.8;A;48.27;A;1019.92;A;16;A;1;A;14;A;173;A;0;A;156.67;A
13.02.2025 15:30;95.41;A;4213.73;A;4212.87;A;41.72;A;29.61;A;20.73;A;9.06;A;38.21;A;30;A;3.75;A;48.51;A;1019.76;A;17;A;1;A;13;A;161;A;0;A;160;A
13.02.2025 15:45;95.33;A;4193.8;A;4190.33;A;41.21;A;29.91;A;20.76;A;9.02;A;38.63;A;29;A;3.68;A;48.93;A;1019.66;A;17;A;1;A;12;A;167;A;0;A;183.33;A
13.02.2025 16:00;95.23;A;4211.6;A;4211.47;A;42.34;A;30.7;A;20.96;A;8.96;A;38.68;A;29;A;3.57;A;49.38;A;1019.53;A;18;A;1;A;11;A;175;A;0;A;240;A
13.02.2025 16:15;95.3;A;4212.27;A;4212.33;A;44.61;A;30.54;A;21.23;A;8.85;A;38.94;A;29;A;3.49;A;49.43;A;1019.34;A;16;A;1;A;13;A;178;A;0;A;186.67;A
13.02.2025 16:30;95.34;A;4212.8;A;4212.53;A;43.13;A;30.29;A;21.24;A;8.74;A;39.16;A;29;A;3.32;A;50;A;1019.24;A;16;A;1;A;13;A;158;A;0;A;173.33;A
13.02.2025 16:45;95.36;A;4212.87;A;4212.33;A;43.9;A;31.96;A;22.62;A;8.58;A;39.48;A;28;A;3.1;A;50.64;A;1019.15;A;16;A;1;A;12;A;165;A;0;A;216.67;A
13.02.2025 17:00;95.38;A;4212.87;A;4212.6;A;45.65;A;34.16;A;23.38;A;8.37;A;40;A;28;A;2.73;A;52.21;A;1019.1;A;15;A;1;A;13;A;183;A;0;A;260;A
13.02.2025 17:15;95.39;A;4213.67;A;4212.8;A;59.39;A;42.28;A;29.26;A;8.05;A;40.69;A;28;A;2.27;A;53.42;A;1019.19;A;11;A;2;A;18;A;305;A;0;A;183.33;A
13.02.2025 17:30;95.4;A;4213.73;A;4212.47;A;76.43;A;53.82;A;36.95;A;7.64;A;42.2;A;28;A;1.67;A;56.93;A;1019.14;A;2;A;2;A;26;A;472;A;0;A;226.67;A
13.02.2025 17:45;95.4;A;4213.93;A;4212.8;A;90.05;A;63.33;A;42.34;A;7.18;A;43.56;A;28;A;1.06;A;60.41;A;1018.97;A;0;A;2;A;29;A;547;A;0;A;220;A
13.02.2025 18:00;95.4;A;4213.87;A;4212.67;A;94.64;A;62.99;A;41.96;A;6.64;A;45.47;A;25;A;0.55;A;61.99;A;1018.93;A;0;A;4;A;29;A;559;A;0;A;276.67;A
13.02.2025 18:15;95.41;A;4213.67;A;4212.6;A;101.24;A;67.86;A;45.06;A;6.12;A;46.28;A;27;A;0.14;A;63.41;A;1018.96;A;0;A;3;A;33;A;653;A;0;A;266.67;A
13.02.2025 18:30;95.41;A;4213.87;A;4212.67;A;124.44;A;79.6;A;51.57;A;5.73;A;47.92;A;27;A;-0.17;A;65.47;A;1018.9;A;0;A;4;A;33;A;821;A;0;A;293.33;A
13.02.2025 18:45;95.41;A;4213.8;A;4212.27;A;157.25;A;95;A;60.68;A;5.36;A;49.85;A;30;A;-0.54;A;67.65;A;1018.91;A;0;A;6;A;36;A;1107;A;0;A;296.67;A
13.02.2025 19:00;95.41;A;4213.8;A;4212.2;A;155.33;A;94.43;A;60.21;A;5;A;50.61;A;28;A;-0.78;A;68.16;A;1018.98;A;0;A;9;A;33;A;1047;A;0;A;290;A
13.02.2025 19:15;95.41;A;4213.87;A;4212.27;A;158.62;A;102.11;A;65.24;A;4.69;A;51.82;A;27;A;-1.09;A;70.28;A;1018.91;A;0;A;10;A;31;A;1073;A;0;A;280;A
13.02.2025 19:30;95.41;A;4213.8;A;4212.2;A;181.68;A;113.07;A;73.59;A;4.43;A;53.02;A;27;A;-1.34;A;71.77;A;1018.81;A;0;A;12;A;31;A;1228;A;0;A;306.67;A
13.02.2025 19:45;95.4;A;4213.93;A;4212.4;A;212;A;135.79;A;87.29;A;4.15;A;53.62;A;29;A;-1.59;A;73.02;A;1018.88;A;0;A;16;A;32;A;1484;A;0;A;230;A
13.02.2025 20:00;95.4;A;4213.93;A;4212.2;A;195.99;A;129.58;A;82.32;A;3.89;A;54.97;A;26;A;-1.84;A;73.92;A;1018.79;A;0;A;18;A;29;A;1341;A;0;A;240;A
13.02.2025 20:15;95.4;A;4213.8;A;4211.87;A;243.92;A;158.99;A;102.18;A;3.68;A;55.25;A;29;A;-2.05;A;74.89;A;1018.79;A;0;A;21;A;32;A;1665;A;0;A;310;A
13.02.2025 20:30;95.4;A;4213.87;A;4211.8;A;275.1;A;180.83;A;115.36;A;3.39;A;56.28;A;29;A;-2.29;A;76.1;A;1018.8;A;0;A;27;A;31;A;1845;A;0;A;236.67;A
13.02.2025 20:45;95.39;A;4208.4;A;4205.73;A;268.67;A;181.07;A;116.78;A;3.17;A;56.61;A;29;A;-2.53;A;76.38;A;1018.9;A;0;A;30;A;31;A;1878;A;0;A;306.67;A
13.02.2025 21:00;95.22;A;4194.47;A;4190.33;A;274.35;A;182.19;A;116.29;A;2.95;A;57.09;A;29;A;-2.66;A;76.94;A;1018.78;A;0;A;30;A;31;A;1805;A;0;A;306.67;A
13.02.2025 21:15;95.24;A;4212;A;4210.73;A;297.15;A;206.42;A;133.37;A;2.74;A;57.96;A;29;A;-2.91;A;78.31;A;1018.76;A;0;A;36;A;30;A;2032;A;0;A;246.67;A
13.02.2025 21:30;95.3;A;4212.87;A;4211.2;A;288.48;A;204.72;A;131.02;A;2.56;A;58.55;A;26;A;-2.98;A;78.43;A;1018.66;A;0;A;41;A;28;A;2038;A;0;A;263.33;A
13.02.2025 21:45;95.33;A;4213.07;A;4211.93;A;256.24;A;188.81;A;122.2;A;2.43;A;58.29;A;24;A;-3.19;A;78.55;A;1018.57;A;0;A;37;A;26;A;1586;A;0;A;313.33;A
13.02.2025 22:00;95.35;A;4213.67;A;4211.47;A;270.8;A;200.39;A;130.75;A;2.27;A;58.53;A;23;A;-3.32;A;78.51;A;1018.73;A;0;A;36;A;25;A;1525;A;0;A;316.67;A
13.02.2025 22:15;95.37;A;4213.8;A;4211.67;A;312.96;A;227.78;A;147;A;2.14;A;57.9;A;22;A;-3.52;A;78.59;A;1018.9;A;0;A;35;A;26;A;1533;A;0;A;330;A
13.02.2025 22:30;95.38;A;4213.8;A;4211.73;A;291.9;A;214.16;A;139.73;A;1.97;A;58.12;A;22;A;-3.62;A;78.83;A;1018.96;A;0;A;34;A;25;A;1503;A;0;A;220;A
13.02.2025 22:45;95.39;A;4213.87;A;4211.8;A;312.56;A;231.05;A;150.03;A;1.8;A;58.26;A;22;A;-3.86;A;78.74;A;1018.84;A;0;A;37;A;25;A;1528;A;0;A;310;A
13.02.2025 23:00;95.39;A;4213.87;A;4211.8;A;305.49;A;228.6;A;148.05;A;1.63;A;58.71;A;22;A;-3.94;A;79.46;A;1018.77;A;0;A;36;A;25;A;1529;A;0;A;253.33;A
13.02.2025 23:15;95.39;A;4213.73;A;4211.6;A;346.35;A;257.52;A;165.93;A;1.55;A;59.03;A;22;A;-4.02;A;79.75;A;1018.89;A;0;A;42;A;24;A;1775;A;0;A;170;A
13.02.2025 23:30;95.39;A;4213.87;A;4211.87;A;359.96;A;263.28;A;170.24;A;1.42;A;59.31;A;23;A;-4.2;A;80.52;A;1019.01;A;0;A;43;A;26;A;1779;A;0;A;323.33;A
13.02.2025 23:45;95.39;A;4214.07;A;4211.93;A;337.12;A;245.45;A;158.98;A;1.3;A;59.75;A;21;A;-4.28;A;81.22;A;1018.88;A;0;A;43;A;23;A;1652;A;0;A;326.67;A
14.02.2025 00:00;95.39;A;4214.07;A;4211.87;A;214.46;A;147.39;A;129.78;A;1.28;A;60.06;A;20;A;-4.3;A;81.52;A;1019;A;0;A;40;A;22;A;1463;A;0;A;136.67;A
14.02.2025 00:15;95.39;A;4213.93;A;4211.4;A;213.67;A;151.54;A;121.13;A;1.49;A;59.82;A;18;A;-4.26;A;81.71;A;1018.92;A;0;A;36;A;21;A;1267;A;0;A;250;A
14.02.2025 00:30;95.39;A;4213.8;A;4211.67;A;215.34;A;149.58;A;126.95;A;1.33;A;60;A;19;A;-4.39;A;81.91;A;1018.85;A;0;A;34;A;21;A;1236;A;0;A;193.33;A
14.02.2025 00:45;95.39;A;4213.87;A;4211.87;A;213.28;A;149.82;A;121.87;A;1.28;A;59.89;A;18;A;-4.43;A;81.44;A;1018.89;A;0;A;33;A;21;A;1149;A;0;A;133.33;A
14.02.2025 01:00;95.39;A;4214.07;A;4211.93;A;211.85;A;153.84;A;114.07;A;1.09;A;60.02;A;19;A;-4.47;A;81.36;A;1018.83;A;0;A;30;A;22;A;1035;A;0;A;323.33;A
14.02.2025 01:15;95.39;A;4213.87;A;4211.2;A;170.06;A;116.91;A;102.96;A;1.31;A;59.93;A;18;A;-4.39;A;81.81;A;1018.49;A;0;A;28;A;21;A;874;A;0;A;316.67;A
14.02.2025 01:30;95.39;A;4214;A;4211.53;A;150.57;A;103.54;A;91.19;A;1.33;A;60.09;A;18;A;-4.37;A;81.9;A;1018.41;A;0;A;22;A;22;A;715;A;0;A;240;A
14.02.2025 01:45;95.39;A;4214;A;4211.93;A;127.64;A;87.81;A;77.34;A;1.5;A;60.07;A;17;A;-4.21;A;82.38;A;1018.37;A;0;A;20;A;21;A;523;A;0;A;176.67;A
14.02.2025 02:00;95.39;A;4214.13;A;4211.67;A;151.36;A;109.22;A;81.62;A;1.52;A;59.51;A;17;A;-4.4;A;81.71;A;1018.4;A;0;A;18;A;21;A;574;A;0;A;130;A
14.02.2025 02:15;95.39;A;4214;A;4211.53;A;145.61;A;100.85;A;85.81;A;1.28;A;59.97;A;17;A;-4.48;A;81.98;A;1018.31;A;0;A;21;A;20;A;719;A;0;A;223.33;A
14.02.2025 02:30;95.38;A;4213.93;A;4211.53;A;138.77;A;95.45;A;84.06;A;1.29;A;60.01;A;17;A;-4.57;A;82.8;A;1017.99;A;0;A;20;A;20;A;718;A;0;A;140;A
